Classification	EW27	EW28	EW29	EW30	EW31	EW32	EW33	EW34	EW35	EW36	EW37	EW38
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Oedogoniales|f__Oedogoniaceae|g__Oedocladium|s__Oedocladium_carolinianum	3288	11719	7487	6684	2547	2434	4784	3386	7118	6964	3032	4209
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Oedogoniales|f__Oedogoniaceae|g__Oedogonium|s__Oedogonium_cardiacum	3604	9033	6129	5186	3774	2936	6004	5031	6363	6026	3636	3042
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Pseudomuriellaceae|g__Pseudomuriella|s__Pseudomuriella_schumacherensis	57	327	193	146	130	37	105	115	226	216	45	259
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Chromochloridaceae|g__Chromochloris|s__Chromochloris_zofingiensis	58	193	180	138	90	79	141	116	140	148	53	144
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Sphaeropleaceae|g__Parallela|s__Parallela_transversalis	19	102	59	44	49	19	61	45	51	108	21	104
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Sphaeropleaceae|g__Ankyra|s__Ankyra_judayi	41	89	106	106	64	73	153	150	129	120	41	130
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Radiococcaceae|g__Neocystis|s__Neocystis_brevis	65	317	112	122	114	54	210	92	205	211	86	128
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Mychonastaceae|g__Mychonastes|s__Mychonastes_jurisii	29	52	41	0	50	0	39	56	54	57	31	107
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Mychonastaceae|g__Mychonastes|s__Mychonastes_homosphaera	52	108	89	98	62	33	97	64	73	100	27	214
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Selenastraceae|g__Ankistrodesmus|s__Ankistrodesmus_falcatus	25	39	61	37	0	0	0	10	35	55	0	17
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Selenastraceae|g__Kirchneriella|s__Kirchneriella_aperta	39	159	123	106	72	90	302	89	111	88	58	113
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Selenastraceae|g__Monoraphidium|s__Monoraphidium_neglectum	60	74	36	99	114	57	139	137	108	167	32	188
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Bracteacoccaceae|g__Bracteacoccus|s__Bracteacoccus_giganteus	0	39	28	33	67	89	96	36	43	40	17	58
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Bracteacoccaceae|g__Bracteacoccus|s__Bracteacoccus_aerius	51	71	44	42	92	18	58	55	98	86	24	137
